"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"Delete Missing Item",2,8400,8400,8400,8400,8400,8400,8400,8400,8433
"Assignee Details -1",38,9100,13000,16000,19000,35000,48000,71000,71000,70846
"Assignee Details -2",36,12000,14000,20000,20000,31000,42000,73000,73000,73302
"Assignee WorkRecord -1- (Get WorkRecord Link)",10,9800,12000,16000,21000,35000,35000,35000,35000,34693
"Assignee WorkRecord -2- (Get WorkRecord List)",9,10000,13000,15000,16000,35000,35000,35000,35000,34570
"Batch Send Invitation -1- Get Assignees",5,12000,13000,13000,33000,33000,33000,33000,33000,32933
"Batch Send Invitation -2- Get Assignees Subscriptions (count: 10)",43,10000,15000,17000,18000,21000,27000,80000,80000,79803
"Batch Send Invitation -4- Check Status",5,10000,19000,19000,74000,74000,74000,74000,74000,73619
"HomePage-offices",11,11000,14000,65000,65000,114000,119000,119000,119000,119398
"HomePage-services",9,16000,18000,21000,22000,24000,24000,24000,24000,24157
"HomePage-timezones",12,13000,15000,21000,21000,25000,27000,27000,27000,26963
"LoginPage-Config js",12,9700,10000,19000,19000,20000,21000,21000,21000,20675
"LoginPage-Feature List",12,11000,12000,19000,19000,19000,20000,20000,20000,19561
"Personal Task Creation -1- list engagement",1,25000,25000,25000,25000,25000,25000,25000,25000,24970
"Personal Task Creation -2- list assignee",1,16000,16000,16000,16000,16000,16000,16000,16000,16128
"Search Assignee (name=task_set & top=500)",4,15000,15000,17000,17000,17000,17000,17000,17000,16976
"Search Assignee (top=500)",4,44000,44000,49000,49000,49000,49000,49000,49000,48735
"Search Assignee - (top=10 & name=task_set)",18,13000,16000,23000,27000,30000,41000,41000,41000,40995
"Show WorkRecord Details -1- workRecord details",3,28000,28000,35000,35000,35000,35000,35000,35000,35384
"Show WorkRecord Details -2- assignee details",3,8800,8800,129000,129000,129000,129000,129000,129000,128938
"View To-Do list",5,13000,14000,14000,29000,29000,29000,29000,29000,29455
"Add Missing Item",28,12000,16000,22000,23000,49000,52000,81000,81000,81385
"Batch Send Invitation -3- Send Out(count: 10)",5,27000,39000,39000,109000,109000,109000,109000,109000,108981
"HomePage-Sign Out",2,8700,8700,8700,8700,8700,8700,8700,8700,8663
"LoginPage-Sign In",12,11000,12000,23000,23000,26000,47000,47000,47000,47396
"Personal Task Completion",1,5800,5800,5800,5800,5800,5800,5800,5800,5786
"Personal Task Creation -3- create",1,5000,5000,5000,5000,5000,5000,5000,5000,5017
"Search WorkRecord -1- get work record uris",1,19000,19000,19000,19000,19000,19000,19000,19000,19420
"Search WorkRecord -2- get assignees by uri",1,79000,79000,79000,79000,79000,79000,79000,79000,79251
"System Task Completion",2,9500,9500,9500,9500,9500,9500,9500,9500,9503
"System Task Prioritization",1,15000,15000,15000,15000,15000,15000,15000,15000,15353
"Receive Missing Item",24,10000,11000,14000,15000,35000,35000,37000,37000,36534
"Total",321,11000,15000,19000,21000,31000,45000,79000,109000,128938