"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Reqests/s"
"DELETE","Delete Missing Item",2,0,5600,7014,0,8433,0,0.00
"GET","Assignee Details -1",38,2,8700,13860,0,70846,6030,0.04
"GET","Assignee Details -2",36,1,11000,14710,0,73302,1176,0.04
"GET","Assignee WorkRecord -1- (Get WorkRecord Link)",10,0,7800,12316,0,34693,4581,0.01
"GET","Assignee WorkRecord -2- (Get WorkRecord List)",9,0,10000,13031,0,34570,94771,0.01
"GET","Batch Send Invitation -1- Get Assignees",5,0,12000,15264,0,32933,8550,0.01
"GET","Batch Send Invitation -2- Get Assignees Subscriptions (count: 10)",43,0,10000,13956,0,79803,140,0.05
"GET","Batch Send Invitation -4- Check Status",5,0,10000,23480,0,73619,1035,0.01
"GET","HomePage-offices",11,0,11000,34439,0,119398,129834,0.01
"GET","HomePage-services",9,0,16000,16240,0,24157,588373,0.01
"GET","HomePage-timezones",12,0,8600,13193,0,26963,6465,0.01
"GET","LoginPage-Config js",12,0,8800,12018,0,20675,1185,0.01
"GET","LoginPage-Feature List",12,0,11000,11624,0,19561,36,0.01
"GET","Personal Task Creation -1- list engagement",1,0,25000,24970,0,24970,41190,0.00
"GET","Personal Task Creation -2- list assignee",1,0,16000,16128,0,16128,8564,0.00
"GET","Search Assignee (name=task_set & top=500)",4,0,13000,12613,0,16976,193334,0.00
"GET","Search Assignee (top=500)",4,0,20000,32430,0,48735,421847,0.00
"GET","Search Assignee - (top=10 & name=task_set)",18,2,11000,16032,0,40995,4587,0.02
"GET","Show WorkRecord Details -1- workRecord details",3,0,28000,25059,0,35384,6396,0.00
"GET","Show WorkRecord Details -2- assignee details",3,0,8800,48083,0,128938,4816,0.00
"GET","View To-Do list",5,0,13000,15251,0,29455,343337,0.01
"POST","Add Missing Item",28,0,12000,17791,0,81385,84,0.03
"POST","Batch Send Invitation -3- Send Out(count: 10)",5,0,27000,39374,0,108981,0,0.01
"POST","HomePage-Sign Out",2,0,7000,7809,0,8663,0,0.00
"POST","LoginPage-Sign In",12,0,9300,16091,0,47396,605,0.01
"POST","Personal Task Completion",1,0,5800,5786,0,5786,0,0.00
"POST","Personal Task Creation -3- create",1,0,5000,5017,0,5017,0,0.00
"POST","Search WorkRecord -1- get work record uris",1,1,19000,19420,0,19420,263165,0.00
"POST","Search WorkRecord -2- get assignees by uri",1,0,79000,79251,0,79251,1145870,0.00
"POST","System Task Completion",2,1,5400,7472,0,9503,0,0.00
"POST","System Task Prioritization",1,0,15000,15353,0,15353,0,0.00
"PUT","Receive Missing Item",24,1,10000,13000,0,36534,0,0.03
"None","Total",321,8,11000,16301,0,128938,42996,0.35